DN_ID,ID,CODIGO,NOME,INDICATIVO_NAVAL,SIGLA,ENDERECO,BAIRRO,CIDADE,UF,CEP
7.0,10323,20100,MISSÃO NAVAL BRASILEIRA NA NAMÍBIA,MNBNAM,MNBN,"EMBASSY OF BRAZIL - 52, BISMARCK STREET, PO BOX 24166",WINDHOEK WEST,WINDHOEK - KHOMAS,,9000    
1.0,10102,23000,CENTRO DE ANÁLISES DE SISTEMAS NAVAIS,CASNAV,CASNAV,"PCA BARAO DE LADARIO, S/N - ILHA DAS COBRAS - RUA DA PONTE - ED-23 DO AMRJ.",CENTRO,RIO DE JANEIRO,RJ,20091000
1.0,10393,31040,CENTRO TECNOLÓGICO DO CFN,CTECFN,CTecCFN,"AV. BRASIL, Nº 13.476",PARADA DE LUCAS,RIO DE JANEIRO,RJ,21012350
1.0,10006,32200,CENTRO DE INSTRUÇÃO ALMIRANTE MILCIADES PORTELA ALVES,CIAMPA,CIAMPA,"AV. BRASIL, 44.878 - GUANDU DO SAPE",CAMPO GRANDE,RIO DE JANEIRO,RJ,23078001
1.0,10070,33100,CENTRO DE AVALIAÇÃO DA ILHA DA MARAMBAIA,CAMBAI,CADIM,"RUA PROFESSOR RAFAEL LEVI MIRANDA, S/Nº",ITACURUÇÁ,MANGARATIBA,RJ,23860000
1.0,10303,40000,DIRETORIA-GERAL DO MATERIAL DA MARINHA,DRGMAT,DGMM,"RUA 1º DE MARÇO, Nº 118 - EDIFÍCIO BARÃO DE LADÁRIO - 11º E 12º ANDARES",CENTRO,RIO DE JANEIRO,RJ,20010000
1.0,10336,40100,CENTRO DE PROJETOS DE NAVIOS,CEPNAV,CPN,"ILHA DAS  COBRAS, S/Nº - EDIFÍCIO Nº 16 DO ARSENAL DE MARINHA DO RIO DE JANEIRO",CENTRO,RIO DE JANEIRO,RJ,20091000
1.0,10139,41000,ARSENAL DE MARINHA DO RIO DE JANEIRO,AMRJRJ,AMRJ,"PRAÇA BARÃO DE LADÁRIO, S/Nº - ILHA DAS COBRAS",CENTRO,RIO DE JANEIRO,RJ,20091000
8.0,10110,42000,"CENTRO TECNOLÓGICO DA MARINHA EM SÃO PAULO ""SEDE""",CTEMSP,CTMSP,"AV. PROFESSOR LINEU PRESTES, 2468 - CIDADE UNIVERSITÁRIA",BUTANTÃ,SÃO PAULO,SP,05508000
1.0,10018,43000,DIRETORIA DE AERONÁUTICA DA MARINHA,AENAUT,DAerM,"RUA PRIMEIRO DE MARÇO, 118 - ED. BARÃO DE LADÁRIO 13º e 14º ANDARES",CENTRO,RIO DE JANEIRO,RJ,20010000
1.0,10085,44030,CENTRO DE MÍSSEIS E ARMAS SUBMARINAS DA MARINHA,CEMASB,CMASM,AV. PAIVA S/No ILHA DO ENGENHO,NEVES,SÃO GONÇALO,RJ,24426140
6.0,10143,86103,NAVIO DE APOIO LOGÍSTICO FLUVIAL POTENGÍ,NALFPO,NApLogFluPotengi,"AV. 14 DE MARÇO, S/N",CENTRO,LADÁRIO,MS,79370000
1.0,10503,2100,CENTRO DE APOIO A SISTEMAS LOGÍSTICOS DE DEFESA,CASLOD,CASLODE,AV. BRASIL 10.500,OLARIA,RIO DE JANEIRO,RJ,21012350
1.0,10148,79000,DIRETORIA DO PATRIMÔNIO HISTÓRICO E DOCUMENTAÇÃO DA MARINHA,DPHDOC,DPHDM,RUA D. MANUEL Nº 15,CENTRO,RIO DE JANEIRO,RJ,20010090
2.0,10154,82801,BASE NAVAL DE ARATU,BNARAT,BNA,ESTRADA DA BASE NAVAL DE ARATU S/Nº,SÃO TOMÉ DE PARIPE,SALVADOR,BA,40800310
6.0,10155,86810,CENTRO DE INTENDÊNCIA DA MARINHA EM LADÁRIO,CITLAD,CeIMLa,AV. 14 DE MARÇO S/No.,CENTRO,LADÁRIO,MS,79370000
1.0,10157,71230,DEPÓSITO DE SUPRIMENTOS DE INTENDÊNCIA DA MARINHA NO RIO DE JANEIRO,DPSUPR,DepSIMRJ,"AV. BRASIL, 10500",OLARIA,RIO DE JANEIRO,RJ,21012350
6.0,10160,86700,HOSPITAL NAVAL DE LADÁRIO,HOSLAD,HNLa,"RUA 14 DE MARCO, S/Nº",,LADÁRIO,MS,79370000
9.0,10161,88100,COMANDO DA FLOTILHA DO AMAZONAS,FLTAMZ,ComFlotAM,"BR-319 KM 4,5 - VILA BURITI S/N",DIST.INDUSTRIAL,MANAUS,AM,69075510
6.0,10162,86311,AGÊNCIA FLUVIAL DE CÁCERES,AGCACE,AGCACERES,"RUA PROFESSOR JOSÉ RIZZO, Nº 01",CENTRO,CACERES,MT,78200000
1.0,10163,51212,BASE DE HIDROGRAFIA DA MARINHA EM NITERÓI,BASHID,BHMN,RUA BARÃO DE JACEGUAI S/Nº - PONTA DE ARMAÇÃO,CENTRO,NITERÓI,RJ,24048900
1.0,20000,55555,TESTE CARGA1,CARGA1,CARGA1,Rua Ilha das Cobras S/Nº,Centro,Rio de Janeiro,RJ,262000  
1.0,30000,77777,OM APRESENTAÇÃO,OMAPRE,OM APRESENTAÇÃO,2222,1,2,RJ,1       
7.0,10501,14000,CENTRO DE INTELIGÊNCIA DA MARINHA,CIMBRA,CIM,ESPLANADA DOS MINISTÉRIOS - BLOCO N EDIFÍCIO ANEXO 4º ANDAR,,BRASÍLIA,DF,70055900
4.0,10167,84000,COMANDO DO 4º DISTRITO NAVAL,QRTDIS,Com4ºDN,"PRACA CARNEIRO DA ROCHA, S/Nº",CIDADE VELHA,Belém,PA,66020150
2.0,10169,82118,NAVIO-VARREDOR ARAÇATUBA,NVTUBA,NVAraçatuba,BASE NAVAL DE ARATU S/Nº,SÃO TOMÉ DE PARIPE,SALVADOR,BA,40800310
1.0,10172,91628,CONTRATORPEDEIRO PERNAMBUCO,CTBUCO,CTPERNAMBUCO,,,,,
3.0,10173,83511,NAVIO HIDROGRÁFICO BALIZADOR COMANDANTE MANHÃES,NBHAES,NHiBComteManhães,RUA SÍLVIO PÉLICO S/Nº,ALECRIM,NATAL,RN,59040150
1.0,10174,95120,1º BATALHÃO DE INFANTARIA DE FUZILEIROS NAVAIS (BATALHÃO RIACHUELO),PRIBTI,1ºBtlInfFuzNav,"ESTRADA DO QUILOMBO, S/Nº",BANANAL,ILHA DO GOVERNADOR,RJ,21911010
1.0,10176,65701,HOSPITAL CENTRAL DA MARINHA,HOSCEN,HCM,"PRACA BARÃO DE LADÁRIO, S/N - ILHA DAS COBRAS",CENTRO,RIO DE JANEIRO,RJ,20091000
1.0,10179,81100,COMANDO DO GRUPAMENTO DE PATRULHA NAVAL DO SUDESTE,GPNSTE,ComGptPatNavSE,"ILHA DAS COBRAS, S/Nº - ED. 22 DO AMRJ",CENTRO,RIO DE JANEIRO,RJ,20091000
6.0,10181,86510,CENTRO DE HIDROGRAFIA E NAVEGAÇÃO DO OESTE,SINOET,CHN-6,Rua 14 de Março S/N,Centro,Ladário,MS,79370000
1.0,10184,65740,CENTRO LOGÍSTICO DE SAÚDE DA MARINHA,CLOGSM,CLSM,"AV. DOM HELDER CÂMARA,  Nº 315",BENFICA,RIO DE JANEIRO,RJ,20911290
5.0,10186,85511,NAVIO HIDROGRÁFICO BALIZADOR COMANDANTE VARELLA,NBVELA,NHiBComteVarella,"AV. HONÓRIO BICALHO, S/Nº - PORTÃO 12 - ILHA DO TERRAPLENO DO LESTE",CENTRO,RIO GRANDE,RS,96201020
7.0,10187,11000,GABINETE DO COMANDANTE DA MARINHA,GABMAR,GCM,ESPLANADA DOS MINISTÉRIOS - BLOCO N - 2º e 3º ANDARES,PLANO PILOTO,BRASÍLIA,DF,70055900
1.0,10188,71270,DEPÓSITO DE SUBSISTÊNCIA DA MARINHA NO RIO DE JANEIRO,DPSUBS,DEPSUBMRJ,"AV. BRASIL, 10500",OLARIA,RIO DE JANEIRO,RJ,21012350
4.0,10189,84511,NAVIO HIDROGRÁFICO ARGUS,NHIARG,NHIARGUS,"RODOVIA ARTHUR BERNARDES, S/Nº",VAL-DE-CÃES,BELÉM,PA,66115000
1.0,10190,62300,COLÉGIO NAVAL,COLNAV,CN,AV. MARQUES DE LEAO S/N,CENTRO,ANGRA DOS REIS,RJ,23909900
